Area_id,Area,Initial_assessment,Total_owed_prevention/relief_duty,Prevention_duty,Temporary_tenancy_expires,Relief_duty,No_duty_owned,No_of_households,Household_threatened_homelessness,Household_assessed_homeless
E08000014,Sefton,284,282,53,6,229,2,123, 0.43 , 1.86 
E07000169,Selby,73,72,29,10,43,1,39, 0.74 , 1.09 
E07000111,Sevenoaks,115,100,60,9,40,15,51, 1.18 , 0.79 
E08000019,Sheffield,971,961,258,39,703,10,249, 1.04 , 2.83 
E06000051,Shropshire,368,364,132,26,232,4,149, 0.89 , 1.56 
E06000039,Slough,211,210,71,3,139,1,56, 1.27 , 2.49 
E08000029,Solihull,237,231,118,15,113,6,93, 1.27 , 1.22 
E07000246,Somerset West and Taunton,134,131,40,7,91,3,72, 0.56 , 1.27 
E07000012,South Cambridgeshire,124,121,51,4,70,3,66, 0.77 , 1.06 
E07000039,South Derbyshire,66,66,42,5,24,0,48, 0.87 , 0.50 
E06000025,South Gloucestershire,170,170,96,14,74,0,123, 0.78 , 0.60 
E07000044,South Hams,102,97,65,6,32,5,41, 1.59 , 0.78 
E07000140,South Holland,88,84,38,8,46,4,41, 0.92 , 1.12 
E07000141,South Kesteven,163,161,50,9,111,2,64, 0.78 , 1.73 
E07000031,South Lakeland,123,122,46,7,76,1,49, 0.94 , 1.55 
E07000149,South Norfolk,67,67,27,2,40,0,64, 0.42 , 0.62 
E07000179,South Oxfordshire,144,144,121,8,23,0,59, 2.07 , 0.39 
E07000126,South Ribble,169,169,69,20,100,0,48, 1.42 , 2.06 
E07000189,South Somerset,234,233,103,26,130,1,76, 1.36 , 1.72 
E07000196,South Staffordshire,40,40,23,7,17,0,48, 0.48 , 0.36 
E08000023,South Tyneside,280,280,140,2,140,0,71, 1.98 , 1.98 
E06000045,Southampton,500,499,439,50,60,1,103, 4.28 , 0.59 
E06000033,Southend-on-Sea,202,202,111,1,91,0,80, 1.40 , 1.14 
E09000028,Southwark,716,674,250,29,424,42,137, 1.83 , 3.10 
E07000213,Spelthorne,106,106,65,4,41,0,40, 1.61 , 1.01 
E07000240,St Albans,83,82,30,9,52,1,59, 0.51 , 0.88 
E08000013,St Helens,179,179,102,14,77,0,82, 1.25 , 0.94 
E07000197,Stafford,94,93,30,8,63,1,62, 0.48 , 1.01 
E07000198,Staffordshire Moorlands,70,70,37,12,33,0,44, 0.84 , 0.75 
E07000243,Stevenage,115,110,38,4,72,5,37, 1.02 , 1.94 
E08000007,Stockport,350,347,185,40,162,3,129, 1.44 , 1.26 
E06000004,Stockton-on-Tees,871,838,641,36,197,33,84, 7.63 , 2.34 
E06000021,Stoke-on-Trent,419,405,137,34,268,14,112, 1.22 , 2.39 
E07000221,Stratford-on-Avon,135,135,28,7,107,0,60, 0.47 , 1.80 
E07000082,Stroud,115,113,36,17,77,2,53, 0.68 , 1.46 
E08000024,Sunderland,527,504,215,34,289,23,123, 1.75 , 2.35 
E07000214,Surrey Heath,37,34,15,2,19,3,35, 0.43 , 0.54 
E09000029,Sutton,242,227,95,14,132,15,84, 1.13 , 1.57 
